Method,Model,AUC-ROC,Balanced Accuracy,Precision,Recall,F1-Score
Baseline,Random Forest,0.9131652661064427,0.9117647058823529,1.0,0.8235294117647058,0.9032258064516129
Baseline,XGBoost,0.9215686274509803,0.8935574229691876,0.8823529411764706,0.8823529411764706,0.8823529411764706
Baseline,LightGBM,0.9439775910364145,0.8879551820728291,0.9333333333333333,0.8235294117647058,0.875
Baseline,SVM,0.7759103641456583,0.5042016806722689,0.45454545454545453,0.29411764705882354,0.35714285714285715
Class-weight,Random Forest,0.9271708683473389,0.9117647058823529,1.0,0.8235294117647058,0.9032258064516129
Class-weight,XGBoost,0.9215686274509803,0.8935574229691876,0.8823529411764706,0.8823529411764706,0.8823529411764706
Class-weight,LightGBM,0.9551820728291316,0.8879551820728291,0.9333333333333333,0.8235294117647058,0.875
Class-weight,SVM,0.7591036414565826,0.5042016806722689,0.45454545454545453,0.29411764705882354,0.35714285714285715
SMOTE,Random Forest,0.9243697478991597,0.9117647058823529,1.0,0.8235294117647058,0.9032258064516129
SMOTE,XGBoost,0.9243697478991597,0.8935574229691876,0.8823529411764706,0.8823529411764706,0.8823529411764706
SMOTE,LightGBM,0.9467787114845938,0.9411764705882353,1.0,0.8823529411764706,0.9375
SMOTE,SVM,0.7787114845938375,0.5042016806722689,0.45454545454545453,0.29411764705882354,0.35714285714285715
Undersampling,Random Forest,0.9131652661064426,0.8879551820728291,0.9333333333333333,0.8235294117647058,0.875
Undersampling,XGBoost,0.9215686274509804,0.8935574229691876,0.8823529411764706,0.8823529411764706,0.8823529411764706
Undersampling,LightGBM,0.9551820728291316,0.8641456582633054,0.875,0.8235294117647058,0.8484848484848485
Undersampling,SVM,0.7759103641456583,0.5042016806722689,0.45454545454545453,0.29411764705882354,0.35714285714285715
